Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6
ENSG00000000003,1649,1760,1822,961,818,833
ENSG00000000005,0,0,0,0,0,1
ENSG00000000419,896,991,1009,1749,1594,2036
ENSG00000000457,293,347,271,307,294,410
ENSG00000000460,154,156,165,650,581,732
ENSG00000000938,0,0,0,0,0,0
ENSG00000000971,85,84,106,7,11,19
ENSG00000001036,2579,2605,2665,2136,1813,2542
ENSG00000001084,2708,2818,2564,3005,2700,3958
ENSG00000001167,4594,4634,4797,5348,5024,7318
ENSG00000001460,265,256,250,264,220,425
ENSG00000001461,1032,1081,839,961,925,1212
ENSG00000001497,1761,1664,1736,3850,3508,5103
ENSG00000001561,652,738,678,553,509,463
ENSG00000001617,208,222,303,358,311,402
ENSG00000001626,14,8,2,5,6,4
ENSG00000001629,6541,7512,5959,3727,3502,4780
ENSG00000001630,926,1048,839,502,524,1078
ENSG00000001631,2093,2347,1986,2068,1793,2477
ENSG00000002016,1154,1163,1098,1240,1240,1615
ENSG00000002330,705,736,687,572,508,605
ENSG00000002549,2499,2446,2468,2608,2458,3505
ENSG00000002586,2152,2080,2420,1612,1484,2468
ENSG00000002587,7,5,8,2,1,0
ENSG00000002726,22,23,18,20,29,33
ENSG00000002745,2,6,3,0,5,3
ENSG00000002746,155,167,186,27,24,71
ENSG00000002822,1071,1129,1192,1647,1598,2467
ENSG00000002834,10097,9623,9777,5823,5333,7635
ENSG00000002919,856,900,804,1035,954,1358
ENSG00000002933,70,84,130,115,89,156
ENSG00000003056,10804,10806,10449,11569,10585,16784
ENSG00000003096,108,109,120,159,167,155
ENSG00000003137,3089,3166,3079,3765,3502,4873
ENSG00000003147,0,1,0,0,1,5
ENSG00000003249,630,651,642,432,319,541
ENSG00000003393,2908,3282,2848,2329,2219,3335
ENSG00000003400,214,227,189,148,143,142
ENSG00000003402,1522,1549,1444,1810,1712,2346
ENSG00000003436,2097,2256,2195,1882,1734,3465
ENSG00000003509,1196,1255,1015,1269,1135,1172
ENSG00000003756,3527,4144,3536,3517,3609,4635
ENSG00000003987,61,92,54,38,23,52
ENSG00000003989,536,571,606,685,675,626
ENSG00000004059,3035,2917,3290,3828,3490,5581
ENSG00000004139,37,51,39,55,59,68
ENSG00000004142,2034,1990,1957,3551,3094,4728
ENSG00000004399,1443,1374,1581,2960,2542,4495
ENSG00000004455,2265,2180,2144,5326,4940,6401
ENSG00000004468,1,1,0,0,1,1
ENSG00000004478,11727,11490,11577,21611,20544,26842
ENSG00000004487,2202,2462,2269,3458,3205,4102
ENSG00000004534,9819,10565,10071,6371,6084,9684
ENSG00000004660,410,312,378,694,733,1226
ENSG00000004700,3473,3618,4017,5061,4862,7007
ENSG00000004766,1110,1228,1145,1297,1163,1467
ENSG00000004776,27,30,28,37,29,60
ENSG00000004777,902,644,1056,1966,1864,3009
ENSG00000004779,1040,1040,1033,1443,1315,1679
ENSG00000004799,42,37,37,51,54,32
ENSG00000004809,1,3,3,2,2,1
ENSG00000004838,93,136,106,96,82,103
ENSG00000004846,324,311,287,34,25,7
ENSG00000004848,21,19,32,18,13,21
ENSG00000004864,4035,4489,4063,4309,3862,4534
ENSG00000004866,340,380,373,426,406,555
ENSG00000004897,2092,2225,2174,3347,3113,3403
ENSG00000004939,0,3,1,3,2,10
ENSG00000004948,20,26,4,20,21,21
ENSG00000004961,673,671,626,751,662,993
ENSG00000004975,2139,1962,2306,2145,1966,3922
ENSG00000005001,139,99,137,143,132,474
ENSG00000005007,4288,4314,3910,6368,5902,9648
ENSG00000005020,14,5,17,38,33,79
ENSG00000005022,8190,8595,8922,14470,13394,17584
ENSG00000005059,106,76,150,546,506,746
ENSG00000005073,79,68,63,230,250,262
ENSG00000005075,1151,1001,1283,1741,1619,2687
ENSG00000005100,1695,1791,1384,3539,3319,4276
ENSG00000005102,0,2,1,1,0,1
ENSG00000005108,103,136,102,112,124,172
ENSG00000005156,1955,1975,1635,2324,2126,2923
ENSG00000005175,1475,1565,1464,1678,1649,2108
ENSG00000005187,28,24,32,121,105,54
ENSG00000005189,39,29,47,280,224,424
ENSG00000005194,1967,2162,1840,2356,2115,2944
ENSG00000005206,1834,1683,1657,1951,1814,3061
ENSG00000005238,4508,4711,3389,1709,1676,2951
ENSG00000005243,121,87,166,362,299,462
ENSG00000005249,174,201,271,219,168,266
ENSG00000005302,1355,1394,1193,1082,1036,1397
ENSG00000005339,9492,8561,8212,7908,7036,10807
ENSG00000005379,65,53,87,107,124,58
ENSG00000005381,0,0,0,0,0,0
ENSG00000005421,3,3,4,4,3,3
ENSG00000005436,556,569,513,972,966,1435
ENSG00000005448,966,871,1060,1663,1496,2325
ENSG00000005469,543,593,568,409,381,346
ENSG00000005471,144,138,182,127,119,183
ENSG00000005483,1681,1859,1629,1643,1552,1640
ENSG00000005486,2716,2689,3202,3164,2815,4491
ENSG00000005513,789,631,750,606,490,978
ENSG00000005700,929,1075,981,1827,1561,2405
ENSG00000005801,1498,1675,1340,1485,1400,1651
ENSG00000005810,2077,2590,2114,2828,2651,3900
ENSG00000005812,1069,1190,1153,1297,1192,1325
ENSG00000005844,0,0,0,2,0,1
ENSG00000005882,848,780,974,794,681,648
ENSG00000005884,15303,15702,16135,9837,9256,20632
ENSG00000005889,665,753,659,574,544,694
ENSG00000005893,2440,2726,3223,3817,3533,3899
ENSG00000005961,111,97,124,101,83,120
ENSG00000005981,2,5,0,1,3,1
ENSG00000006007,1811,2120,1850,1565,1388,1659
ENSG00000006015,628,632,715,957,790,1575
ENSG00000006016,143,119,216,278,222,354
ENSG00000006025,926,874,830,1054,976,1556
ENSG00000006042,1827,1782,1957,1382,1205,1828
ENSG00000006047,595,626,630,914,760,994
ENSG00000006059,0,0,0,0,3,2
ENSG00000006062,857,882,884,1473,1304,1344
ENSG00000006071,92,77,101,125,108,178
ENSG00000006116,0,0,0,0,0,0
ENSG00000006118,10912,9186,10067,8966,7412,9730
