"Gene_ID"	"Start"	"End"	"length"	"Gene_type"
"ENSG00000000003"	100627109	100639991	12882	"protein_coding"
"ENSG00000000005"	100584802	100599885	15083	"protein_coding"
"ENSG00000000419"	50934867	50958555	23688	"protein_coding"
"ENSG00000000457"	169849631	169894267	44636	"protein_coding"
"ENSG00000000460"	169662007	169854080	192073	"protein_coding"
"ENSG00000000938"	27612064	27635277	23213	"protein_coding"
"ENSG00000000971"	196651878	196747504	95626	"protein_coding"
"ENSG00000001036"	143494811	143511690	16879	"protein_coding"
"ENSG00000001084"	53497341	53616970	119629	"protein_coding"
"ENSG00000001167"	41072945	41099976	27031	"protein_coding"
"ENSG00000001460"	24356999	24416934	59935	"protein_coding"
"ENSG00000001461"	24415794	24472976	57182	"protein_coding"
"ENSG00000001497"	65512582	65534775	22193	"protein_coding"
"ENSG00000001561"	46129993	46146699	16706	"protein_coding"
"ENSG00000001617"	50155045	50189075	34030	"protein_coding"
"ENSG00000001626"	117465784	117715971	250187	"protein_coding"
"ENSG00000001629"	92246234	92401384	155150	"protein_coding"
"ENSG00000001630"	92112151	92134803	22652	"protein_coding"
"ENSG00000001631"	92198969	92246166	47197	"protein_coding"
"ENSG00000002016"	912077	990053	77976	"protein_coding"
"ENSG00000002330"	64269830	64284704	14874	"protein_coding"
"ENSG00000002549"	17577192	17607972	30780	"protein_coding"
"ENSG00000002586"	2691133	2741309	50176	"protein_coding"
"ENSG00000002587"	11393150	11429765	36615	"protein_coding"
"ENSG00000002726"	150824627	150861504	36877	"protein_coding"
"ENSG00000002745"	121325367	121341104	15737	"protein_coding"
"ENSG00000002746"	43112599	43566001	453402	"protein_coding"
"ENSG00000002822"	1815793	2233243	417450	"protein_coding"
"ENSG00000002834"	38869859	38921770	51911	"protein_coding"
"ENSG00000002919"	48103357	48123074	19717	"protein_coding"
"ENSG00000002933"	150800403	150805120	4717	"protein_coding"
"ENSG00000003056"	8940363	8949955	9592	"protein_coding"
"ENSG00000003096"	117897813	118117340	219527	"protein_coding"
"ENSG00000003137"	72129238	72148038	18800	"protein_coding"
"ENSG00000003147"	8113184	8262687	149503	"protein_coding"
